income,family_size,education_level,health_status,region_code,employment_status,age,disability_status,approved
3343.98,11,1,3,3,1,46,0,1
27900.33,8,5,3,4,2,27,1,1
55744.56,6,4,4,3,2,34,0,0
213944.7,7,2,3,3,1,19,0,1
19498.17,3,3,4,1,2,23,0,0
13763.94,1,5,2,2,3,75,1,1
19888.39,5,4,2,2,2,22,0,1
108932.37,2,3,3,2,3,45,0,0
53879.28,5,5,4,4,2,79,0,0
19231.17,8,5,4,2,2,58,0,0
67233.1,11,4,3,3,2,22,0,1
40802.27,9,1,3,2,2,35,0,1
116119.37,2,2,4,1,1,43,0,0
15639.21,3,4,1,2,1,37,0,1
24509.24,3,2,3,1,1,58,0,1
22685.25,1,4,4,1,2,66,0,0
6271.57,8,1,4,1,0,44,0,1
51810.3,6,0,3,2,3,66,1,1
49675.46,8,2,5,4,2,29,0,0
36539.03,11,0,4,2,2,24,0,1
27405.4,9,5,3,2,1,76,0,1
6644.57,5,4,4,3,3,20,0,0
21921.55,3,4,4,1,3,27,0,0
24070.51,5,3,3,4,2,51,0,0
13867.0,5,2,3,3,1,42,0,1
29925.23,5,3,3,2,2,52,0,1
58974.54,3,3,4,3,0,33,0,1
349208.02,11,3,3,1,1,19,0,1
44778.95,10,2,4,3,2,77,0,1
49466.97,4,3,4,2,2,41,1,1
33211.95,9,3,2,4,2,27,0,1
3631.77,10,5,4,1,3,55,0,0
35178.25,9,4,3,3,2,39,0,1
39037.43,2,3,4,3,2,43,0,0
697941.48,8,3,4,1,1,60,0,0
28829.86,8,4,3,2,3,72,0,1
52148.82,7,0,3,4,0,56,0,1
34833.88,8,4,2,4,3,44,0,0
8933.7,3,4,2,2,3,46,0,0
143112.65,6,3,3,4,0,64,0,1
89529.16,1,2,3,5,2,55,0,0
93829.85,7,2,5,4,3,37,0,0
12194.44,1,3,3,1,2,44,0,0
195507.33,9,0,3,4,3,58,0,0
6753.25,1,4,4,2,3,71,0,0
73440.33,1,0,2,5,2,37,0,0
503101.27,7,2,5,3,2,61,0,0
11062.94,2,5,4,1,3,36,0,0
18406.2,5,4,4,4,2,37,0,0
40928.49,8,2,2,2,0,52,0,1
19847.42,8,2,3,5,0,64,1,1
5648.83,3,0,3,5,2,19,0,1
39429.74,7,3,4,3,3,47,0,0
10150.07,3,0,1,1,3,70,0,1
64107.13,6,3,3,3,2,51,0,1
12048.45,6,5,5,1,0,39,0,1
233262.87,3,1,3,1,1,20,1,1
14187.21,7,4,3,4,3,23,1,1
24674.51,3,5,2,2,1,32,0,1
96396.07,8,1,5,2,1,44,1,1
8291.31,10,4,1,5,0,27,1,1
47712.65,4,3,4,2,2,26,0,1
174306.64,1,5,4,2,3,50,0,0
5276.51,4,3,3,5,1,49,0,0
45322.58,7,3,4,1,2,65,0,1
49605.62,11,3,2,4,2,23,0,1
92798.66,4,4,3,5,3,58,0,0
8230.97,6,4,4,5,0,76,1,1
7446.15,9,3,5,3,2,53,0,0
67936.58,1,4,4,2,2,76,0,0
51864.07,5,2,4,2,3,77,0,0
49049.8,11,1,2,4,2,19,1,1
55035.73,7,1,2,4,0,46,1,1
16058.13,1,2,2,3,2,21,0,1
47987.91,4,2,3,2,2,18,0,1
51621.16,6,5,3,1,0,36,0,1
15410.1,2,1,3,1,3,43,0,0
340758.54,10,3,3,4,1,42,0,1
64125.64,5,1,3,2,2,27,0,1
8694.41,11,4,4,5,2,70,0,1
79846.74,10,5,4,4,2,32,0,0
11275.44,1,3,3,1,2,76,0,0
93386.45,6,4,5,3,3,39,0,0
145847.19,6,0,5,2,2,68,0,0
13564.09,4,4,2,3,2,65,0,1
115387.51,8,2,4,4,2,38,0,0
59595.61,4,5,4,4,2,76,0,0
97389.35,8,0,4,4,0,73,0,1
353681.33,8,3,3,2,2,39,0,0
27052.49,5,4,4,1,3,53,0,0
14698.73,4,2,3,4,0,51,0,1
12488.74,2,1,4,1,2,47,0,0
13643.62,11,1,4,2,3,42,0,1
33106.27,3,2,4,1,0,62,1,1
54687.06,3,3,4,3,2,45,0,0
50616.3,4,1,4,1,2,18,0,1
97989.92,4,2,2,3,2,66,1,1
36886.55,10,0,3,5,0,62,0,1
207781.2,11,4,4,1,0,21,0,1
26434.14,11,1,3,1,2,24,0,1
949986.45,5,2,1,2,3,66,0,0
76941.51,4,0,2,4,2,26,0,1
12983.19,11,2,3,2,2,53,0,1
10045.99,10,4,5,2,0,36,1,1
64793.91,8,2,4,1,2,18,1,1
27773.7,6,1,5,4,1,27,0,1
85545.24,6,4,4,2,3,53,0,0
64079.84,8,4,3,4,3,26,0,0
33276.45,7,1,3,5,2,62,1,1
13145.67,10,4,4,2,3,63,1,1
5896.91,11,5,2,4,0,59,0,1
21251.49,10,1,5,1,2,49,0,0
101486.25,8,4,4,4,1,49,0,0
46953.47,2,4,3,3,3,23,0,0
8144.62,9,3,5,4,1,65,0,0
44703.95,1,1,4,1,2,55,0,0
57663.57,8,1,4,1,3,34,0,1
12573.81,11,4,2,2,0,27,0,1
43672.34,4,5,3,2,2,67,0,0
38942.85,4,3,4,2,2,44,1,1
9213.6,5,2,3,2,2,71,0,1
55789.72,8,3,2,1,1,67,0,1
71178.17,5,3,4,2,1,52,0,0
133207.25,8,2,2,4,0,69,0,1
128612.91,10,1,4,3,3,76,0,0
6952.08,1,4,5,1,2,38,0,0
11785.32,10,2,5,2,0,42,0,1
67375.88,9,4,3,1,2,45,0,1
67274.94,6,2,5,5,2,64,0,0
67376.88,3,0,1,1,1,32,0,1
2000000.0,8,1,1,4,2,21,0,0
72046.61,9,3,4,5,1,46,0,0
141871.75,6,5,3,4,1,76,0,0
114096.76,11,1,3,3,2,26,0,1
79353.63,7,4,4,4,1,44,0,0
24876.45,1,3,2,5,2,43,0,0
90288.29,5,4,3,3,2,36,0,0
14365.86,5,2,3,3,2,73,0,1
27332.12,10,4,4,3,2,45,0,1
20283.51,4,4,4,3,2,34,0,0
40064.62,6,2,3,3,3,60,0,0
583961.47,7,1,3,2,2,74,1,0
3863.32,9,4,2,2,2,58,0,1
82744.45,1,5,2,1,3,59,0,0
5243.48,6,0,4,1,2,67,0,1
20613.09,7,4,3,2,1,37,0,1
134153.6,3,5,2,1,1,62,0,0
39227.61,8,4,4,3,1,57,0,1
9963.72,5,5,4,2,3,56,1,1
15392.5,9,4,4,4,2,66,0,0
82085.55,5,2,3,1,3,70,0,0
15116.77,9,2,3,2,2,40,0,1
47086.91,10,2,3,4,2,64,0,1
38356.77,4,4,2,3,0,49,0,1
16615.31,9,4,4,1,2,69,0,0
475790.5,5,2,4,4,2,64,0,0
77707.17,10,4,4,4,3,50,0,0
3196.55,9,4,4,2,1,74,1,1
45421.7,3,3,3,2,2,63,1,1
16413.45,4,3,4,5,2,22,0,0
101004.46,9,3,3,3,2,60,0,1
14030.31,10,1,4,3,2,65,1,1
31644.39,11,2,3,4,2,51,1,1
66568.36,6,1,2,2,1,57,0,1
102632.12,2,1,3,2,2,28,0,0
8601.09,7,3,5,2,2,78,0,0
24308.92,2,3,3,4,3,67,0,0
20538.69,11,0,2,3,3,20,1,1
16580.87,2,4,3,3,1,79,0,0
302109.58,11,2,4,2,1,75,1,1
59040.45,1,5,4,2,3,50,0,0
7997.94,11,5,4,3,2,28,1,1
109254.39,11,1,2,4,3,33,0,1
463511.95,11,3,4,3,1,35,0,0
125361.68,3,0,3,1,2,47,0,1
5864.99,6,3,4,4,3,65,0,0
20311.02,8,3,4,1,3,72,0,0
166091.38,9,2,2,5,1,27,1,1
15534.16,7,3,2,1,2,35,0,1
61857.17,4,2,1,3,2,55,1,1
92001.56,6,1,3,1,0,36,1,1
11940.41,5,3,3,5,2,53,0,1
33811.95,8,2,4,3,2,76,0,1
742.84,1,3,3,1,3,30,0,0
10622.55,1,2,3,2,2,73,0,0
26820.4,11,5,2,1,1,63,0,1
8124.67,6,1,2,1,0,20,0,1
257530.53,10,3,5,5,2,27,0,0
6527.83,2,3,3,2,1,55,0,1
21417.14,5,2,4,4,2,18,0,0
42484.25,1,5,4,3,2,72,0,0
204746.51,7,4,4,3,3,73,1,0
6483.17,1,3,5,1,3,44,0,0
146648.89,4,4,3,2,2,63,1,1
36764.19,9,5,5,4,3,25,0,0
11183.44,1,5,2,5,2,68,0,0
63229.37,4,4,2,2,2,63,0,0
46113.99,6,4,4,2,1,59,0,1
17672.05,6,1,5,3,2,34,0,1
39488.41,8,1,4,5,2,26,0,1
22870.97,1,3,2,2,3,78,0,1
41615.2,7,0,3,2,2,23,0,1
80382.91,1,3,5,4,3,60,0,0
243584.74,7,2,3,1,2,42,0,0
8222.43,3,2,4,1,0,56,0,1
469601.64,11,4,4,3,3,66,0,0
3489.43,8,5,3,5,2,77,0,0
30268.35,3,1,3,2,2,45,0,1
73569.12,1,3,3,3,2,50,0,0
50878.22,8,4,3,3,0,71,1,1
17201.65,3,1,5,3,2,54,0,0
28289.71,2,4,3,3,2,26,0,0
20098.47,1,2,5,3,2,35,0,0
17903.69,3,2,2,2,3,73,0,0
100661.89,2,5,5,3,2,76,0,0
55738.06,2,2,3,3,1,38,0,0
15811.75,6,3,1,3,2,19,0,1
106886.18,1,4,1,4,3,78,0,0
52510.03,2,0,4,1,1,75,0,1
96320.32,6,3,4,4,1,60,0,0
77308.15,3,5,4,4,0,76,0,0
13429.46,4,1,2,2,0,77,0,1
18541.8,1,4,1,3,3,55,0,0
89032.11,8,3,4,2,2,75,0,1
75542.02,7,3,3,2,2,57,0,1
35415.97,7,3,3,2,2,53,0,0
41805.9,3,2,5,1,2,67,0,0
168248.59,10,5,5,2,3,77,0,0
17856.35,10,5,5,4,3,60,0,0
70018.65,3,3,4,2,2,54,0,0
28491.72,2,4,3,4,3,32,0,0
27967.06,1,3,3,3,2,45,0,0
135744.84,7,3,4,4,1,35,0,1
97782.37,7,3,4,3,1,51,0,0
96395.19,2,3,2,1,2,39,1,1
173958.94,7,3,3,3,2,28,0,1
37242.45,8,4,2,1,3,75,0,1
82317.88,1,3,4,3,2,74,0,0
25026.23,9,0,5,5,3,30,1,1
53583.67,7,1,4,1,2,21,1,1
31064.73,3,2,3,2,3,39,0,0
40798.28,8,4,5,4,2,24,0,0
74175.44,7,3,4,4,2,78,0,0
13604.22,11,3,1,3,2,60,0,1
447246.3,8,3,3,2,3,71,0,0
10859.32,6,3,3,3,0,41,0,1
8458.89,9,2,2,2,3,21,0,1
145762.38,5,3,5,4,1,45,0,0
93900.9,3,4,3,5,2,32,1,1
76798.76,3,4,5,4,3,18,0,0
77189.18,1,2,3,4,1,72,0,0
35785.71,8,0,2,1,1,20,0,1
12373.28,2,1,3,4,2,31,0,1
39773.87,3,0,2,4,3,55,0,0
16113.39,8,3,3,1,0,67,0,1
117025.1,8,2,5,4,3,74,1,1
30440.56,11,3,4,2,1,18,0,1
13485.95,4,3,4,3,3,55,0,0
24694.53,4,1,2,4,3,55,0,1
59606.37,5,2,1,3,2,38,0,1
18463.12,6,2,2,1,2,65,0,1
13539.08,5,2,4,3,2,46,0,1
48650.85,7,2,2,3,2,22,0,1
48725.6,2,4,3,5,0,66,0,1
19765.0,7,1,4,2,0,27,0,1
20635.21,10,5,3,2,0,45,0,1
47976.18,7,2,2,4,2,38,0,1
6388.78,1,4,3,2,1,67,0,1
6707.92,7,3,5,3,2,24,0,0
15334.6,5,4,4,3,3,20,0,0
28109.52,3,4,3,4,2,62,0,0
52737.87,3,3,1,3,2,64,0,1
213294.15,4,3,5,3,2,37,0,0
101639.91,2,3,4,1,3,36,1,0
29973.64,2,3,3,1,3,52,1,1
35496.19,1,0,5,1,3,21,0,0
10904.87,5,2,3,1,3,22,0,0
35517.62,4,3,4,3,0,18,0,1
25683.64,11,3,4,4,3,21,0,1
53490.66,10,4,3,3,2,29,0,1
13457.92,2,3,5,4,1,77,0,0
67725.35,3,5,4,5,3,44,0,0
228498.9,7,2,4,4,0,73,0,1
31872.15,7,2,2,3,2,59,0,1
58809.23,4,2,2,3,1,40,0,1
83130.99,5,3,3,2,2,42,0,0
22438.54,5,4,4,1,2,38,0,0
47520.24,6,2,3,2,2,78,0,0
36868.43,9,4,4,5,2,75,1,1
40831.59,2,2,4,4,1,69,0,1
14362.68,5,3,2,2,3,41,0,0
37399.48,3,3,4,3,0,42,0,1
66012.4,4,2,2,4,2,62,1,1
207186.02,10,3,5,1,3,72,0,0
114820.46,6,2,3,2,3,63,0,0
481094.48,8,1,2,4,2,49,0,0
14460.6,1,2,3,2,2,72,0,0
103443.9,10,1,3,1,3,49,0,1
45252.37,8,2,4,3,3,22,0,1
502707.37,11,3,4,4,2,53,0,0
13767.17,7,3,4,3,1,63,0,1
13257.7,1,3,2,2,1,59,1,1
17689.54,2,1,2,2,1,66,0,1
2839.33,3,3,2,3,2,59,0,0
19323.82,1,2,4,3,0,75,0,1
14603.85,9,2,5,4,2,56,0,1
43498.1,8,4,3,1,2,33,1,1
54726.71,2,0,2,4,1,50,0,1
345036.33,9,3,4,1,3,66,0,0
113607.93,7,3,4,2,2,38,0,0
18173.42,9,2,4,1,0,78,0,1
12356.07,6,2,5,2,3,26,0,0
65532.6,6,2,3,3,0,23,0,1
7448.14,11,4,2,3,2,68,0,1
327011.47,4,2,5,1,2,62,1,0
149541.34,10,2,4,3,2,52,0,1
20681.38,10,2,3,1,3,56,0,0
4648.22,2,3,4,4,2,39,0,0
184360.22,7,1,4,5,2,58,0,0
31651.86,5,2,4,2,0,71,0,1
160392.56,11,3,4,3,1,22,0,0
5359.83,6,5,3,2,3,59,0,0
17689.91,2,2,4,1,2,40,0,0
36544.74,5,2,4,2,2,34,0,0
38421.66,10,2,4,4,2,29,1,1
21161.13,4,3,4,3,2,40,0,0
76681.82,9,2,4,1,0,33,0,1
10085.51,6,3,1,4,2,20,0,1
30611.92,2,4,4,3,2,47,0,0
41955.08,1,4,4,4,1,74,0,0
67327.67,5,2,4,3,1,39,0,0
85300.69,9,4,4,3,0,26,0,1
9418.48,6,3,4,1,2,46,0,1
5762.13,10,3,3,1,3,64,0,0
168251.0,7,0,4,5,0,54,0,1
54110.14,5,5,2,2,1,40,0,1
14791.62,10,1,3,5,1,30,0,1
233603.93,6,2,4,3,2,49,0,0
41723.07,5,1,4,1,2,63,0,0
149515.69,11,3,3,1,2,69,0,1
39380.35,9,2,2,2,2,64,0,1
430583.92,6,1,4,5,2,65,0,0
298465.32,11,1,1,2,3,40,0,1
26936.65,8,1,2,2,3,62,0,1
116527.8,2,3,1,2,1,34,0,1
78782.89,9,3,2,1,1,72,0,1
187654.52,5,2,2,3,0,57,0,1
11408.25,7,3,3,1,1,38,0,1
82723.73,10,3,3,4,3,19,0,0
129328.3,1,0,5,2,2,54,0,0
4400.67,10,2,4,2,1,23,0,1
8778.75,5,5,4,3,2,61,1,1
3142.96,10,3,2,2,2,35,0,1
26283.9,2,2,3,5,0,47,0,1
85909.59,6,3,4,3,2,39,0,0
220318.27,11,2,2,1,2,71,0,1
39692.35,1,3,3,3,2,50,0,0
256360.17,3,1,4,1,0,47,0,1
6931.82,5,1,4,1,1,34,0,1
4702.93,4,1,1,5,2,79,0,1
33973.73,3,5,3,4,1,60,0,0
57577.0,10,4,4,5,2,49,1,1
34918.3,5,1,2,3,2,59,0,1
3038.35,11,1,4,3,2,68,1,1
32632.24,8,4,4,1,3,31,0,0
7590.38,11,1,5,2,2,75,0,1
81113.69,4,2,3,4,0,27,0,1
56382.71,1,5,4,2,2,64,0,0
11756.3,11,2,4,4,2,77,0,1
19601.47,7,3,3,4,2,68,1,1
10187.78,8,5,2,1,1,53,1,1
33684.23,3,2,4,3,3,51,0,0
114253.02,6,0,3,3,2,26,0,1
11126.99,2,2,3,2,1,59,0,1
66493.26,7,4,2,4,1,45,1,1
19219.7,8,4,4,3,0,28,0,1
14024.38,6,4,4,1,3,31,0,0
31938.38,6,1,4,3,0,56,0,1
10485.09,5,4,3,5,0,72,0,1
18687.7,8,5,2,1,3,64,1,1
8626.09,1,3,4,4,1,71,0,0
383720.68,10,5,3,2,0,36,0,0
37885.22,4,4,2,4,0,71,0,1
15682.95,4,3,4,4,0,32,0,0
46947.06,3,3,5,2,1,79,0,0
31735.98,3,2,4,2,2,45,0,0
27856.91,4,1,4,4,1,41,0,1
75886.95,11,3,5,3,0,25,1,1
90130.08,1,2,3,4,2,60,0,0
19214.08,11,4,4,1,2,78,0,1
18197.11,11,5,5,4,2,26,1,1
26106.46,2,4,2,4,2,64,0,0
2293.18,9,1,4,5,1,50,0,1
5894.47,10,2,4,1,2,79,0,1
187259.22,2,1,4,3,2,50,0,0
261440.3,5,3,4,3,2,36,0,0
26934.32,9,4,5,2,3,20,1,1
72538.18,9,5,4,3,0,27,0,1
52759.56,8,2,2,1,2,57,0,1
1461036.93,1,5,5,4,0,64,0,0
139175.35,1,4,3,3,2,59,0,0
31147.8,9,2,3,1,2,18,0,1
11537.43,11,4,3,3,3,46,0,1
5283.08,8,2,3,3,0,67,0,1
46358.33,10,2,3,1,2,51,0,1
14652.69,9,3,5,5,2,68,1,1
6589.91,7,2,4,5,2,30,0,0
16715.85,3,3,4,3,2,71,0,0
9918.36,3,3,1,1,2,18,0,1
275011.99,2,3,5,4,2,51,0,0
104607.2,5,2,5,3,1,46,0,0
35969.72,3,3,4,2,2,65,0,0
214471.68,6,3,1,3,0,64,0,1
39848.58,2,3,2,3,3,30,0,0
12919.06,3,2,3,3,2,65,1,1
225877.68,5,0,2,2,3,66,1,1
69334.09,11,3,3,3,1,70,1,1
10459.9,11,1,5,5,3,78,0,1
28899.9,1,3,3,2,3,46,0,0
12698.74,1,4,1,4,2,56,0,1
6909.42,10,3,3,4,2,41,0,1
